Loyalty#,Cluster,PCA1,PCA2,PCA3,TSNE1,TSNE2,TSNE3,UMAP1,UMAP2,UMAP3
480934,4,0.8797218151944904,0.5954361990481393,-0.8705992769249203,7.7656946,-6.1383147,-8.69788,9.598073,4.5950847,5.029638
549612,2,0.9466525630609185,-1.9380759263247034,-0.6196548140287034,5.5114465,-20.20239,-2.8620064,1.6785585,12.0078945,3.272611
429460,2,0.7175871505867951,-1.9220132723927916,-0.49883724848811367,10.302193,-19.399868,-2.3849282,2.841228,12.0467005,3.2126887
608370,2,1.3395810480583894,-1.894954049078839,-0.41348500229062596,13.371477,-21.584602,-2.1447957,3.3070366,12.635928,2.8405902
530508,4,-0.5519309780502645,0.6284897420875437,-0.7596945801067213,-16.796453,13.423719,-3.9173129,0.64778686,-0.38481334,11.742308
193662,4,1.64346120969793,0.5008606351462892,-0.5728172917568903,20.142023,1.0737951,-5.486925,9.510958,1.2286372,4.9811077
927943,2,1.269709785280372,-1.9157334445593224,-0.5216972674287486,10.720355,-14.316625,-3.9957418,2.9063282,11.874924,3.3114605
188893,4,0.5879501594319145,0.6254916370205947,-0.9004357269098741,3.0821066,3.2780802,-12.425109,9.732269,5.48683,5.1760426
852392,4,1.0793577403930175,0.6598896474798077,-0.8187459841818046,9.779416,4.2172427,-4.8910666,10.088288,3.4872375,4.345989
932823,4,0.80553618955133,0.54486290238427,-0.7573730787936637,10.083435,-1.8759013,-9.448123,9.08821,3.6454902,4.972499
144514,4,0.7809239782500448,0.4308814081102915,-0.8672319180200594,3.3913221,3.5206213,-8.346194,9.797939,5.046737,4.779949
611765,4,-0.05865997813593273,0.5795153133198819,-0.9631577051589627,0.8114852,12.208892,-11.954288,10.920651,6.5639157,4.5308776
988178,2,1.2734393283581513,-1.9082288520299928,-0.4398359998529387,12.2115555,-17.55741,-2.9992886,3.290255,12.041977,3.1547003
286114,2,0.8871424497525886,-1.9494157380642338,-0.6984588641795043,2.3760948,-13.421253,-3.8646517,0.9728364,11.771535,3.5157804
205785,4,0.7265635661419179,1.2709318119664479,-0.9624041396567238,9.88291,20.811762,6.274492,16.977287,3.5944614,5.0940423
735304,4,0.7383944733151386,1.2657538763737104,-1.0231772866996593,9.303431,22.288527,7.430974,17.00453,3.5955896,5.138196
438936,4,0.9014825763161721,0.6534455109109005,-0.6518905188257009,15.47496,-1.1946081,-7.898106,9.359536,1.9088426,4.8054843
243713,2,-0.9088740604865921,-2.006777874081432,-0.7580765593420451,-11.947878,-15.879672,-11.764028,-5.055935,4.3647118,3.6784198
354730,2,-0.5315626281075484,-1.9599445614252982,-0.525864207797759,-10.549015,-21.031622,-11.2099495,-5.515383,4.910321,4.5101943
413741,2,0.9199549478111135,-1.9293665627768668,-0.5533946031010137,6.631095,-18.335016,-1.6227969,2.0078385,12.046853,3.5873551
552965,2,-2.1572658291570583,-2.025626852452364,-0.762526016578612,-12.206435,-10.524154,-10.317267,-4.889734,3.8846421,3.0452306
642313,2,0.9535896836298997,-1.939117785366581,-0.6315748097695627,3.6804574,-16.056435,-4.9488716,1.4232703,11.639006,3.4703302
263080,2,0.5454408560199266,-1.9258994103437577,-0.4551972631876956,10.893485,-17.24907,-2.5216289,3.0825694,12.026053,3.2768524
109767,4,0.962637506232174,0.6150534974098241,-0.8667123318679743,5.9595695,1.2000245,-9.42234,9.75646,4.7177787,5.098703
217754,4,-0.6102102452018213,0.618583520135449,-0.7972848719845826,-15.86151,11.305372,-5.364344,0.82570654,0.106704764,11.807616
157005,4,0.6725579510345981,0.6247061164309278,-0.8871565096968478,3.167767,3.1689968,-12.4458885,9.70093,5.5178504,5.1291966
557752,4,0.3151175843172515,0.6122386860695103,-0.9549542577033375,0.16947585,6.8876762,-11.042325,10.473675,6.08959,4.7061605
608758,4,-0.3563632149846279,0.5242743731901309,-0.6381678632349829,-15.652815,15.152378,-2.3209312,0.38306478,-0.84062535,11.623199
599341,4,1.1532969478070643,0.48080439104351314,-0.8276182521374329,5.380192,0.14778316,-9.027181,9.59129,4.5636744,5.065755
333502,2,0.7852808081909324,-1.9199444189811627,-0.4523084794148645,11.225571,-17.181643,-2.7108543,3.193734,11.966419,3.1926067
201574,0,-3.2163933189292475,0.405989461166359,-0.5694257246159242,-22.412563,-0.26843858,9.82801,2.4628856,9.490698,10.853806
403361,4,-1.1886891736554857,0.48957025781710967,-0.9530041125931472,-14.874368,5.5385995,-11.24371,1.1295122,1.9433066,11.670935
543918,5,1.7299686490525128,-1.2678506873445576,-0.38354978937719564,-7.6725125,-6.0007815,16.147308,2.040998,-4.1987104,3.5047562
806030,4,-0.10663878062991142,0.535227099569043,-0.9817657012815495,0.1381676,13.47277,-10.357379,11.207398,6.4953074,4.4220815
119200,4,0.8416555914135136,0.5541330396657401,-0.9447867300450428,9.192398,12.975279,-3.6682494,11.824539,4.371926,3.3006105
175967,4,0.18502588807989903,0.5404351157720179,-0.9411206350482941,-0.7223171,4.4128547,-17.36257,10.176112,7.0691223,3.8599222
238119,4,0.9562501516654501,0.6084806702544686,-0.6025553552157663,20.861591,-1.5335895,-4.5016994,9.366134,1.6519288,4.7104225
730388,2,0.039220831056499234,-1.922022811638929,-0.34707529010878874,-10.290089,-24.185999,-10.98896,-5.730367,5.1175337,4.913478
834891,0,-3.48220946371799,0.4016826083165645,-0.7047571954649222,-25.422268,0.72008556,8.45514,3.07045,9.18259,10.953333
127400,2,1.0151931432648982,-1.9194588767159801,-0.5049344994363815,11.295189,-13.882471,-4.5927944,2.9478238,11.883886,3.332072
324557,2,1.1759163488070183,-1.8993324282187025,-0.3884802482713934,14.19928,-15.407765,-3.4311986,3.5722888,12.214965,3.0902114
742002,2,0.43061448394565555,-1.9507156063906483,-0.6026722967159741,4.5374575,-15.78267,-3.6947243,1.5489905,11.5575075,3.5470653
536567,4,0.668430419467158,0.585569122295895,-0.8148339838957873,5.1549973,1.9802132,-12.635496,9.665642,5.0830555,5.2400584
704835,4,0.7241890423076629,0.5847090490257312,-0.8555661123064634,4.511535,4.8608837,-9.979353,9.933659,5.3001766,5.006204
733338,4,-1.9146221398685863,0.541590530269615,-0.7538395831800464,-23.132484,4.272545,-8.43935,2.0685472,2.0111177,12.086006
758635,4,-1.9709573189870135,0.5137223925710992,-0.9187892292563254,-20.46011,1.9441437,-13.560905,2.1260598,2.5736341,11.749558
823048,4,-1.397269899128015,0.5189885585026485,-0.9797018856132159,-15.17402,4.652307,-11.980913,1.2329912,2.2576692,11.677482
612905,2,0.7826020689659295,-1.9287883778565318,-0.5081301967463547,8.7773905,-17.079863,-2.5056338,2.6187391,11.914783,3.4834197
679908,4,0.8755295794914277,0.5867259502411114,-0.7879468147797665,5.3827415,-1.1896225,-9.352074,9.395364,4.4541426,5.0251994
704150,4,0.882945907851163,0.5981295825784226,-0.7163963802347199,11.646707,-1.5657669,-8.233043,9.152216,3.2030878,5.0007815
869743,4,-1.0575419170500207,0.5160631903106778,-0.8600579567860397,-16.924925,7.8792896,-10.869143,1.2278155,1.5892563,11.439193
596179,4,-0.552715544930576,0.43529206950442045,-0.6352830281060075,-17.577108,15.067259,-5.646819,0.5392403,-0.43288055,11.437735
370450,5,1.4806217804114619,-1.17824596530876,-0.3784088738835893,-5.931081,-5.7868123,15.791494,2.2339025,-4.119388,3.4117315
501030,4,-0.9979695282470287,0.5733755094896412,-0.8904395527290937,-16.596968,7.878877,-10.495719,1.2343677,1.5125895,11.486633
878633,1,-0.3081278409422193,2.449021561419086,-0.8997291685358431,-5.1218066,17.7747,-18.528906,10.364599,1.4806266,14.671511
285938,4,0.7963451946906115,0.5908959990156617,-0.699128960009048,11.873633,-2.3500774,-8.4690275,9.117529,3.1347697,5.0168805
588237,4,1.4756162917792588,0.6272090479674914,-0.6760851546887934,13.931437,9.449567,-3.2869594,11.232109,2.9783404,3.819949
645280,4,1.1589769919847523,0.6206615023238068,-0.561134217836692,21.079103,1.8716539,-4.172904,9.66903,1.2773837,4.856009
864324,4,0.5467192346755254,0.5456808446631697,-0.9757763950851295,-1.6936921,6.16463,-18.304655,10.30939,7.026693,3.6432645
124678,1,0.9604244195068439,2.4815780438024464,-0.8335742436014454,-3.0268018,30.100954,-2.5278375,0.61313397,4.046871,-4.1521125
186015,1,0.6886174790840471,2.4522134802653177,-0.9894212002828416,0.55917466,30.491335,-0.70644355,0.8450266,4.5314875,-4.4582515
589580,1,0.7812321178658705,2.453555023034809,-0.9856039939439984,0.5608565,30.467695,-0.7370076,0.845033,4.49894,-4.4527864
623688,1,0.7235130326218577,2.4452008405976233,-1.0313890072966092,1.0669385,30.348429,-0.5609835,0.8391447,4.5806556,-4.470081
751616,1,0.31184063848364146,2.41607432886979,-1.2223988429522077,4.3637486,28.185514,1.56006,1.2977073,4.8688946,-4.64564
256147,2,1.2477854072789165,-1.8924521964221872,-0.33825946817108093,16.477335,-17.48786,-3.790779,3.7604456,12.266576,2.8610704
329382,0,-2.7999150876275576,-1.9434539759065776,-0.14300215990076937,-12.254054,-12.232412,11.854949,-0.30106732,3.319253,1.3383647
140392,4,0.9831211474155057,0.6728042158229585,-0.5946996002197579,14.824804,0.13589945,-5.194641,9.451122,1.9860374,4.6187377
541008,4,-1.5842418960206874,0.4345380582106025,-0.9165361077175975,-18.544144,4.06025,-12.576692,1.7404963,2.2097418,11.588613
230908,1,1.3087601742019812,2.5366357372003128,-0.7691393998490553,-3.6723852,29.953714,-3.1499531,0.5801101,4.0293407,-4.1256247
972581,5,0.6929063421623337,-1.2841249863259345,-0.5741884793424833,-2.788164,-3.5658624,20.707422,1.554434,-3.75473,3.3582048
357549,0,-3.6976128878641545,0.4861166941434729,-0.803912740863282,-28.460049,-0.9539382,0.6240346,4.041911,7.9367905,10.653678
157729,4,-1.5494580305850076,0.5344186504122677,-0.9187224397707142,-18.60756,4.1009746,-12.48531,1.7577275,2.188313,11.60672
910875,4,0.8414467250258245,0.6452091896290401,-0.5456537631402895,19.206335,-0.8677455,-5.487764,9.350977,1.342196,4.8919144
501704,2,1.5551304510849537,-1.8843960990570277,-0.3881376818042788,11.586235,-22.948223,-1.7730755,2.769617,12.738523,2.8117874
529098,2,0.43743514511639714,-1.957520345654738,-0.6904110870406573,-0.2823715,-22.526176,-2.722871,0.4446444,12.115199,3.034931
265297,4,-1.8681302626628105,0.4334022484135815,-0.9047302017041979,-20.430399,2.149756,-13.342329,2.0589201,2.430818,11.6626
567875,4,-0.9320749084949685,0.5941247076352605,-0.9378260848709812,-11.47761,3.4588962,-10.319365,0.8269262,2.2734022,12.3758745
688524,4,1.4169282320584833,0.7085459042303514,-0.6023090809074672,15.050462,7.564252,-1.9654067,10.727318,2.5071013,3.8084445
269070,4,1.371282448965998,1.2514209996756724,-0.6732979664984022,13.719704,19.762388,9.4022255,17.002705,2.9220173,4.9463086
387705,4,1.2636293720401748,1.2523146145983932,-0.6741426743919038,13.87154,17.734715,6.560329,16.841356,2.9684324,5.0351224
923293,4,0.7048091802539895,0.6049312490245293,-0.8129634662145533,3.8357248,2.689771,-12.092336,9.575333,5.2522,5.0866976
283314,0,-2.9483555185528427,0.5494415876585266,-0.3949890049988257,-17.788698,-3.6883817,13.167672,1.3270808,10.418413,11.411075
322102,0,-2.935205083145468,-1.9564194170425073,-0.202888402665406,-11.554201,-13.542443,10.811037,-0.2550637,3.1253645,1.3089641
789157,2,-2.064024309543135,-2.0190750758577085,-0.7179267628819566,-12.016483,-10.627498,-10.109448,-4.942897,3.857681,3.057709
654748,4,-1.2316294464268114,0.4812709753071992,-0.848672421257673,-17.375502,7.4863663,-10.792487,1.3656988,1.606055,11.509957
984713,2,-0.5164654085995933,-1.973014444683283,-0.714699388688523,2.5764413,-25.658752,-3.056689,0.694652,12.586107,2.7523253
114835,4,-0.8569530121399653,1.1714229561278549,-1.005314264629089,-8.344983,0.8620684,-1.8550441,-0.2960832,4.049684,12.450765
328936,4,0.891594462076023,0.4802498278916173,-0.6934238765631264,8.803522,0.23007299,-7.410644,9.294207,3.8277736,4.6268134
845864,1,1.312426104147316,2.4652475505761062,-0.8215002104762964,-3.3840237,30.077505,-2.9189842,0.59660536,4.0806217,-4.1451993
645265,4,1.1217613202011025,0.60489907793409,-0.6041719125628662,19.070675,-4.411979,-7.090536,9.083797,1.7320924,5.1343184
223587,4,0.40898340939686334,0.6235958806139079,-0.8969999517048314,1.029118,6.625848,-10.100951,10.266407,6.156003,4.628213
158560,4,0.8591389927738633,0.5114275669133483,-0.7633732335467611,6.449981,1.0322955,-8.775557,9.672224,4.5136914,5.071414
417584,4,0.8982888541644265,0.528787995604434,-0.637432196831209,13.321826,-1.6089689,-7.216602,9.27517,2.5935209,4.975483
566033,0,-3.186787897050231,-1.9817930610082573,-0.3277763319107621,-11.920596,-16.0025,8.658479,-0.1795015,2.6276731,1.3263562
957912,4,-0.9819321421510367,0.5564610516111888,-0.9315385747207896,-12.216052,7.0521536,-7.28613,1.4191911,1.4893148,11.708165
425854,5,0.7075662979128027,-1.3467297652347656,-0.6154536410010432,-2.3938928,-4.857448,21.532265,1.4323084,-3.7079103,3.419311
174896,0,-3.1637548097464703,-1.9793487283995461,-0.31504387124217276,-11.827186,-15.81787,8.777887,-0.18383591,2.6466596,1.3239505
